input_id	dealiased_id	standard_id	short_id
arXiv:2106.04486	arXiv:2106.04486	arxiv:2106.04486	HzzgJQN0
Hastie1993VaryingCoefficientM	Hastie1993VaryingCoefficientM	Hastie1993VaryingCoefficientM	pirD8JuJ
Jacobs1991AdaptiveMO	Jacobs1991AdaptiveMO	Jacobs1991AdaptiveMO	5UsFy1cc
Koh2020WILDSAB	Koh2020WILDSAB	Koh2020WILDSAB	ViAP9fh7
Cai2024ContinuousTD	Cai2024ContinuousTD	Cai2024ContinuousTD	1D89dIDtO
Chen2024LFMEAS	Chen2024LFMEAS	Chen2024LFMEAS	ySxuugBg
Schafhalter2024ScalableMA	Schafhalter2024ScalableMA	Schafhalter2024ScalableMA	1Fc0kIYQ4
Ostapenko2024TowardsML	Ostapenko2024TowardsML	Ostapenko2024TowardsML	Hyh4oJHn
Wu2024MixtureOL	Wu2024MixtureOL	Wu2024MixtureOL	ijdAm3bf
Lepski1997OptimalPA	Lepski1997OptimalPA	Lepski1997OptimalPA	MoVIrux0
Littlestone1989TheWM	Littlestone1989TheWM	Littlestone1989TheWM	nhWQSRBg
Ambekar2024SelectiveTA	Ambekar2024SelectiveTA	Ambekar2024SelectiveTA	rXJuRh4F
Kim2023TestTimeAI	Kim2023TestTimeAI	Kim2023TestTimeAI	run7WIHy
Huang2024HarderTN	Huang2024HarderTN	Huang2024HarderTN	KBnuztMa
Hsu2018UnsupervisedLV	Hsu2018UnsupervisedLV	Hsu2018UnsupervisedLV	7SNrxgEk
Arora2024BayesianSL	Arora2024BayesianSL	Arora2024BayesianSL	eWO4aUQ6
Vapnik1999AnOO	Vapnik1999AnOO	Vapnik1999AnOO	1BIpbSBB
Lo2024ACL	Lo2024ACL	Lo2024ACL	z4KxhXha
Geirhos2020ShortcutLI	Geirhos2020ShortcutLI	Geirhos2020ShortcutLI	9W6kdR7s
Sagawa2019DistributionallyRN	Sagawa2019DistributionallyRN	Sagawa2019DistributionallyRN	5vHnjc4b
Lakkaraju2017TheSL	Lakkaraju2017TheSL	Lakkaraju2017TheSL	a6BiplBF
Yuan2006ModelSA	Yuan2006ModelSA	Yuan2006ModelSA	h3Uh8wYi
tibshirani1996regression	tibshirani1996regression	tibshirani1996regression	PeotCKyQ
Gelman2006DataAU	Gelman2006DataAU	Gelman2006DataAU	htzWcAM1
Bottou2016OptimizationMF	Bottou2016OptimizationMF	Bottou2016OptimizationMF	n4I8NBgb
Balseiro2018ContextualBW	Balseiro2018ContextualBW	Balseiro2018ContextualBW	ql9MY89d
Boyd2011DistributedOA	Boyd2011DistributedOA	Boyd2011DistributedOA	gXylcdAj
Kingma2014AdamAM	Kingma2014AdamAM	Kingma2014AdamAM	fV3bp5El
Brown2020LanguageMA	Brown2020LanguageMA	Brown2020LanguageMA	nhdYYtrp
Wei2022EmergentAO	Wei2022EmergentAO	Wei2022EmergentAO	oCuEj46V
Min2022RethinkingTR	Min2022RethinkingTR	Min2022RethinkingTR	cEMOLLg
Kaplan2020ScalingLF	Kaplan2020ScalingLF	Kaplan2020ScalingLF	1EAtiMm6o
Hoffmann2022TrainingCO	Hoffmann2022TrainingCO	Hoffmann2022TrainingCO	Zc8hnVfA
Botzer2025PublicationTO	Botzer2025PublicationTO	Botzer2025PublicationTO	GQQU9PQb
doi:10.2307/2528966	doi:10.2307/2528966	doi:10.2307/2528966	1AAscRzye
dlauritzen1996graphical	dlauritzen1996graphical	dlauritzen1996graphical	8RQjnDY9
doi:10.1214/009053606000000281	doi:10.1214/009053606000000281	doi:10.1214/009053606000000281	eFgbj4Kw
doi:10.1093/biostatistics/kxm045	doi:10.1093/biostatistics/kxm045	doi:10.1093/biostatistics/kxm045	m4KsbXUW
doi:10.1093/biomet/asq060	doi:10.1093/biomet/asq060	doi:10.1093/biomet/asq060	hxZIBmjM
doi:10.1111/rssb.12033	doi:10.1111/rssb.12033	doi:10.1111/rssb.12033	JDoK9thg
Murakami2024FastSV	Murakami2024FastSV	Murakami2024FastSV	1BatMyNyU
Englert2025SpatiallyVC	Englert2025SpatiallyVC	Englert2025SpatiallyVC	OngP0u23
Fan2025NetworkVC	Fan2025NetworkVC	Fan2025NetworkVC	5HZh8pIu
doi:10.1198/jasa.2011.tm10465	doi:10.1198/jasa.2011.tm10465	doi:10.1198/jasa.2011.tm10465	721WoKJr
doi:10.1080/01621459.2014.896806	doi:10.1080/01621459.2014.896806	doi:10.1080/01621459.2014.896806	1Da8QJneg
doi:10.1093/biomtc/ujaf053	doi:10.1093/biomtc/ujaf053	doi:10.1093/biomtc/ujaf053	x5cbX2Cv
Zhou2019TreeBV	Zhou2019TreeBV	Zhou2019TreeBV	El7MAmHp
Zakrisson2024ATV	Zakrisson2024ATV	Zakrisson2024ATV	dlBtVL5G
Lu2008PenalizedSE	Lu2008PenalizedSE	Lu2008PenalizedSE	mrmXRBJo
Sagawa2019GroupDRO	Sagawa2019GroupDRO	Sagawa2019GroupDRO	J9mQL0g5
Koh2021WILDS	Koh2021WILDS	Koh2021WILDS	I3kCk5k2
Zhou2023DAMS	Zhou2023DAMS	Zhou2023DAMS	195IMYRMU
Ivanov2019VAEAC	Ivanov2019VAEAC	Ivanov2019VAEAC	1DD1jAYZd
Yoon2018GAIN	Yoon2018GAIN	Yoon2018GAIN	SXfDe3KU
Little1994PatternMixture	Little1994PatternMixture	Little1994PatternMixture	jqcBCPQs
Munoz2023HeckmanMI	Munoz2023HeckmanMI	Munoz2023HeckmanMI	ye7pP794
Chen2016XGBoost	Chen2016XGBoost	Chen2016XGBoost	mcQbhuyn
VanNess2022MissingIndicator	VanNess2022MissingIndicator	VanNess2022MissingIndicator	5ykU3Zv8
Che2018GRUD	Che2018GRUD	Che2018GRUD	R3MGlv2S
Cao2018BRITS	Cao2018BRITS	Cao2018BRITS	Bl30FFIi
Bommasani2021OnTO	Bommasani2021OnTO	Bommasani2021OnTO	3looVq4U
Ruder2017AnOO	Ruder2017AnOO	Ruder2017AnOO	10qodfWCa
Vaswani2017AttentionIA	Vaswani2017AttentionIA	Vaswani2017AttentionIA	1GERSXJ6W
Kingma2013AutoEncodingVB	Kingma2013AutoEncodingVB	Kingma2013AutoEncodingVB	HVOSvrMU
Hospedales2020MetaLearningIN	Hospedales2020MetaLearningIN	Hospedales2020MetaLearningIN	AhnjNoZf
Finn2017ModelAgnosticMF	Finn2017ModelAgnosticMF	Finn2017ModelAgnosticMF	wo0peFG5
Dai2022WhyCG	Dai2022WhyCG	Dai2022WhyCG	sbcsv77q
AtaeeTarzanagh2023TransformersAS	AtaeeTarzanagh2023TransformersAS	AtaeeTarzanagh2023TransformersAS	PGLlyugi
Xie2021AnEO	Xie2021AnEO	Xie2021AnEO	KTwv72iC
Olsson2022IncontextLA	Olsson2022IncontextLA	Olsson2022IncontextLA	5xvP4cZ1
Dong2022ASO	Dong2022ASO	Dong2022ASO	i1igC2BC
Wei2022ChainOT	Wei2022ChainOT	Wei2022ChainOT	jqqbYcAr
Linardatos2020ExplainableAA	Linardatos2020ExplainableAA	Linardatos2020ExplainableAA	IeaH24Dv
Petroni2019LanguageMA	Petroni2019LanguageMA	Petroni2019LanguageMA	eWa6TjX2
DoshiVelez2017TowardsAR	DoshiVelez2017TowardsAR	DoshiVelez2017TowardsAR	4YiO662d
Bordt2024RethinkingEM	Bordt2024RethinkingEM	Bordt2024RethinkingEM	byOqPJ9J
Ribeiro2016WhySI	Ribeiro2016WhySI	Ribeiro2016WhySI	6oC3BWiG
Lundberg2017AUA	Lundberg2017AUA	Lundberg2017AUA	3XVsx394
Sundararajan2017AxiomaticAF	Sundararajan2017AxiomaticAF	Sundararajan2017AxiomaticAF	MfWOgMP0
Shrikumar2017LearningIF	Shrikumar2017LearningIF	Shrikumar2017LearningIF	rQnxWUdp
Chen2018ThisLL	Chen2018ThisLL	Chen2018ThisLL	rwzMVtZm
Papernot2018DeepKN	Papernot2018DeepKN	Papernot2018DeepKN	TcDVxgHv
Koh2017UnderstandingBP	Koh2017UnderstandingBP	Koh2017UnderstandingBP	4HmAqDnt
Cremer2018InferenceSI	Cremer2018InferenceSI	Cremer2018InferenceSI	ynoNTdxR
Higgins2016betaVAELB	Higgins2016betaVAELB	Higgins2016betaVAELB	um27DIkT
Alemi2017DeepVI	Alemi2017DeepVI	Alemi2017DeepVI	FPJnDqnE
Kim2017InterpretabilityBF	Kim2017InterpretabilityBF	Kim2017InterpretabilityBF	uaQfPsiI
Ghorbani2019TowardsAC	Ghorbani2019TowardsAC	Ghorbani2019TowardsAC	PHDk950u
Locatello2018ChallengingCA	Locatello2018ChallengingCA	Locatello2018ChallengingCA	oMsXuhzd
Alain2016UnderstandingIL	Alain2016UnderstandingIL	Alain2016UnderstandingIL	1HROmiXOz
Tenney2019WhatDY	Tenney2019WhatDY	Tenney2019WhatDY	dh6xe0MV
Meng2022LocatingAE	Meng2022LocatingAE	Meng2022LocatingAE	1FCZIJJbH
Dai2021KnowledgeNI	Dai2021KnowledgeNI	Dai2021KnowledgeNI	4DoXpxVd
Kroeger2023InContextEH	Kroeger2023InContextEH	Kroeger2023InContextEH	v0xAySK8
vapnik1991principles	vapnik1991principles	vapnik1991principles	15RY4QKp3
arXiv:1907.02893	arXiv:1907.02893	arxiv:1907.02893	1DeCFT6PA
arXiv:2010.05761	arXiv:2010.05761	arxiv:2010.05761	1FLMzrLE9
arXiv:2003.00688	arXiv:2003.00688	arxiv:2003.00688	11IMWGprl
arXiv:1710.11469	arXiv:1710.11469	arxiv:1710.11469	L6xa6qzg
arXiv:1501.01332	arXiv:1501.01332	arxiv:1501.01332	JhS4KMR7
arXiv:1706.06083	arXiv:1706.06083	arxiv:1706.06083	B0L8KJ8W
arXiv:1805.12152	arXiv:1805.12152	arxiv:1805.12152	ylSNfYug
arXiv:1905.02175	arXiv:1905.02175	arxiv:1905.02175	l5C1P3il
arXiv:2309.07864	arXiv:2309.07864	arxiv:2309.07864	CYfSdHYg
arXiv:1911.08731	arXiv:1911.08731	arxiv:1911.08731	Jm8Kx8HW
arXiv:2107.09044	arXiv:2107.09044	arxiv:2107.09044	EXaywYVO
arXiv:2010.07249	arXiv:2010.07249	arxiv:2010.07249	10151coVE
pubmed:20212072	pubmed:20212072	pubmed:20212072	9GZOsj4z
pubmed:PMC6356121	pubmed:PMC6356121	pubmed:PMC6356121	D6xnJJaY
pubmed:36181392	pubmed:36181392	pubmed:36181392	5V2lk8fC
doi:10.1016/j.chaos.2008.07.022	doi:10.1016/j.chaos.2008.07.022	doi:10.1016/j.chaos.2008.07.022	1HdkTgLul
arXiv:2212.03471	arXiv:2212.03471	arxiv:2212.03471	cHqJJQHt
arXiv:2409.08354	arXiv:2409.08354	arxiv:2409.08354	RkqVE8TP
ang2014asset	ang2014asset	ang2014asset	1GChRhAEq
lei2018machinery	lei2018machinery	lei2018machinery	lGpaLCJV
arXiv:2509.08183	arXiv:2509.08183	arxiv:2509.08183	138XfoxXm
arXiv:2509.01794	arXiv:2509.01794	arxiv:2509.01794	1C0w0XTvj
arXiv:2508.10055	arXiv:2508.10055	arxiv:2508.10055	nTk9nk8h
arXiv:2406.12274	arXiv:2406.12274	arxiv:2406.12274	gfPki3PM
arXiv:2303.02781v1	arXiv:2303.02781v1	arxiv:2303.02781v1	xoOsuDeH
arXiv:2410.12837	arXiv:2410.12837	arxiv:2410.12837	yApXu0Vp
arXiv:2402.19473	arXiv:2402.19473	arxiv:2402.19473	1BPbcGQGq
arXiv:1702.08734	arXiv:1702.08734	arxiv:1702.08734	1HqcEkGab
arXiv:2504.15965	arXiv:2504.15965	arxiv:2504.15965	EsknayJ2
arXiv:2506.06326	arXiv:2506.06326	arxiv:2506.06326	QciOeUHY
arXiv:2309.17453	arXiv:2309.17453	arxiv:2309.17453	D4deReQm
arXiv:2309.06180	arXiv:2309.06180	arxiv:2309.06180	PF464FGD
doi:10.48550/arXiv.2108.07258	doi:10.48550/arXiv.2108.07258	doi:10.48550/arxiv.2108.07258	1GbAsSOZV
doi:10.48550/arXiv.2103.00020	doi:10.48550/arXiv.2103.00020	doi:10.48550/arxiv.2103.00020	17tnf46zM
doi:10.48550/arXiv.1607.06520	doi:10.48550/arXiv.1607.06520	doi:10.48550/arxiv.1607.06520	1EVDWGSEg
doi:10.48550/arXiv.1810.04805	doi:10.48550/arXiv.1810.04805	doi:10.48550/arxiv.1810.04805	urJgpE6q
doi:10.48550/arXiv.2208.01066	doi:10.48550/arXiv.2208.01066	doi:10.48550/arxiv.2208.01066	R7y5TKp9
doi:10.48550/arXiv.1701.06538	doi:10.48550/arXiv.1701.06538	doi:10.48550/arxiv.1701.06538	mFiH1ERh
doi:10.48550/arXiv.2106.09685	doi:10.48550/arXiv.2106.09685	doi:10.48550/arxiv.2106.09685	Pf2hk1xb
doi:10.48550/arXiv.2305.07171	doi:10.48550/arXiv.2305.07171	doi:10.48550/arxiv.2305.07171	6ALrEKtt
doi:10.48550/arXiv.2210.12530	doi:10.48550/arXiv.2210.12530	doi:10.48550/arxiv.2210.12530	Xtwwrjzy
doi:10.48550/arXiv.2310.05797	doi:10.48550/arXiv.2310.05797	doi:10.48550/arxiv.2310.05797	RvAOKYai
doi:10.48550/arXiv.2005.00247	doi:10.48550/arXiv.2005.00247	doi:10.48550/arxiv.2005.00247	dO6oWLlh
doi:10.48550/arXiv.2402.15414	doi:10.48550/arXiv.2402.15414	doi:10.48550/arxiv.2402.15414	1AEMaqZx6
doi:10.48550/arXiv.2212.07677	doi:10.48550/arXiv.2212.07677	doi:10.48550/arxiv.2212.07677	V6cbeqie
doi:10.48550/arXiv.2306.04891	doi:10.48550/arXiv.2306.04891	doi:10.48550/arxiv.2306.04891	iZG9n7mW
doi:10.48550/arXiv.2209.11895	doi:10.48550/arXiv.2209.11895	doi:10.48550/arxiv.2209.11895	m1iAIGu4
doi:10.48550/arXiv.1706.04599	doi:10.48550/arXiv.1706.04599	doi:10.48550/arxiv.1706.04599	zPozLA0K
doi:10.48550/arXiv.2012.07421	doi:10.48550/arXiv.2012.07421	doi:10.48550/arxiv.2012.07421	PKjSQOD
doi:10.48550/arXiv.2211.09110	doi:10.48550/arXiv.2211.09110	doi:10.48550/arxiv.2211.09110	XxvKtGf4
doi:10.48550/arXiv.2303.08774	doi:10.48550/arXiv.2303.08774	doi:10.48550/arxiv.2303.08774	17lpGtuH5
doi:10.48550/arXiv.2407.21783	doi:10.48550/arXiv.2407.21783	doi:10.48550/arxiv.2407.21783	yWg7tQr1
doi:10.48550/arXiv.2207.01848	doi:10.48550/arXiv.2207.01848	doi:10.48550/arxiv.2207.01848	rYveVDKJ
doi:10.1145/3560815	doi:10.1145/3560815	doi:10.1145/3560815	12nAa0T4v
doi:10.1007/s10462-012-9338-y	doi:10.1007/s10462-012-9338-y	doi:10.1007/s10462-012-9338-y	g7RE7G0h
doi:10.48550/arXiv.2305.12696	doi:10.48550/arXiv.2305.12696	doi:10.48550/arxiv.2305.12696	10hcHcmAG
doi:10.18653/v1/2023.emnlp-main.384	doi:10.18653/v1/2023.emnlp-main.384	doi:10.18653/v1/2023.emnlp-main.384	kAJDlMwy
doi:10.48550/arXiv.2302.12343	doi:10.48550/arXiv.2302.12343	doi:10.48550/arxiv.2302.12343	11RvF4F7q
doi:10.48550/arXiv.2212.09741	doi:10.48550/arXiv.2212.09741	doi:10.48550/arxiv.2212.09741	1AazNaZYl
doi:10.1038/s41467-023-43713-1	doi:10.1038/s41467-023-43713-1	doi:10.1038/s41467-023-43713-1	HQXzkG4Q
doi:10.48550/arXiv.2409.08466	doi:10.48550/arXiv.2409.08466	doi:10.48550/arxiv.2409.08466	XpHq6HEw
doi:10.48550/arXiv.2305.14705	doi:10.48550/arXiv.2305.14705	doi:10.48550/arxiv.2305.14705	zWwbz3cX
doi:10.48550/arXiv.2404.13628	doi:10.48550/arXiv.2404.13628	doi:10.48550/arxiv.2404.13628	UskQdlu3
doi:10.48550/arXiv.2311.16142	doi:10.48550/arXiv.2311.16142	doi:10.48550/arxiv.2311.16142	R3AtGoca
doi:10.48550/arXiv.1911.08731	doi:10.48550/arXiv.1911.08731	doi:10.48550/arxiv.1911.08731	11l8svMmM
doi:10.48550/arXiv.2004.07780	doi:10.48550/arXiv.2004.07780	doi:10.48550/arxiv.2004.07780	4fnOdPts
doi:10.48550/arXiv.2212.10559	doi:10.48550/arXiv.2212.10559	doi:10.48550/arxiv.2212.10559	16Xv40Ngd
doi:10.48550/arXiv.1807.03124	doi:10.48550/arXiv.1807.03124	doi:10.48550/arxiv.1807.03124	J9eXUymQ
doi:10.3390/publications13020019	doi:10.3390/publications13020019	doi:10.3390/publications13020019	hRp04fhf
doi:10.1145/3097983.3098066	doi:10.1145/3097983.3098066	doi:10.1145/3097983.3098066	MGkiKe9y
wang2019efficiency	wang2019efficiency	wang2019efficiency	Do5Pmykz
